payment_id,invoice_number,approved_invoice_amount
PAY-001,INV-90001,36700.0
PAY-002,INV-90002,3200.0
PAY-003,INV-90003,7800.0
PAY-004,INV-90004,4500.0
PAY-005,INV-90005,8200.0
PAY-006,INV-90006,5600.0
PAY-007,INV-90007,2300.0
PAY-008,INV-90008,6750.0
PAY-009,INV-90009,4100.0
PAY-010,INV-90010,6200.0
PAY-011,INV-90011,3800.0
PAY-012,INV-90012,7250.0
PAY-013,INV-88219,7200.0
PAY-014,INV-90014,4200.0
PAY-015,INV-90015,6300.0
PAY-016,INV-90016,5900.0
PAY-017,INV-90017,2750.0
PAY-018,INV-90018,5100.0
PAY-019,INV-90019,3100.0
PAY-020,INV-90020,4400.0
PAY-021,INV-90021,4600.0
PAY-022,INV-90022,2900.0
PAY-023,INV-90023,4800.0
PAY-024,INV-90024,5500.0
PAY-025,INV-90025,3350.0
PAY-026,INV-90026,6100.0
PAY-027,INV-90027,4900.0
PAY-028,INV-90028,4750.0
PAY-029,INV-90029,2600.0
PAY-030,INV-90030,4300.0
