invoice_number,vendor_id,vendor_name,amount,payment_date,status,bank_routing_used
INV-80000,V001,Acme Logistics Ltd,11798.14,2026-05-16,PAID,BNK-CHASE-001
INV-80001,V002,Vortex Energy Inc,13554.67,2026-04-18,PAID,BNK-WELLS-002
INV-80002,V003,Nexus Software Corp,4639.22,2026-05-06,PAID,BNK-CITI-003
INV-80003,V004,Globex Global Corp,12439.23,2026-03-11,PAID,BNK-BOA-004
INV-80004,V005,Pinnacle Freight Co,2295.35,2026-03-26,PAID,BNK-CHASE-005
INV-80005,V006,Orion Cloud Services,1346.66,2026-05-08,PAID,BNK-USB-006
INV-80006,V007,Titan Manufacturing LLC,4560.57,2026-03-16,PAID,BNK-WELLS-007
INV-80007,V008,Aurora Consulting Group,11154.72,2026-03-09,PAID,BNK-CITI-008
INV-80008,V009,Catalyst Pharma,4220.01,2026-02-25,PAID,BNK-BOA-009
INV-80009,V010,Delta Mechanical Works,12862.79,2026-03-27,PAID,BNK-CHASE-010
INV-80010,V011,Ember Digital Agency,4591.58,2026-03-05,PAID,BNK-USB-011
INV-80011,V012,Fusion Media Group,5584.88,2026-05-19,PAID,BNK-WELLS-012
INV-80012,V013,Galaxy Telecom Ltd,13851.49,2026-04-29,PAID,BNK-CITI-013
INV-80013,V014,Horizon Staffing Inc,12808.0,2026-04-06,PAID,BNK-BOA-014
INV-80014,V015,Ignite Marketing LLC,5579.39,2026-04-22,PAID,BNK-CHASE-015
INV-80015,V016,Jade Construction Co,17264.06,2026-04-06,PAID,BNK-USB-016
INV-80016,V017,Keystone Legal Partners,2558.02,2026-04-01,PAID,BNK-WELLS-017
INV-80017,V018,Luminary Design Studio,2463.52,2026-04-05,PAID,BNK-CITI-018
INV-80018,V019,Meridian Supply Chain,11184.09,2026-05-14,PAID,BNK-BOA-019
INV-80019,V020,Nova Research Labs,13351.39,2026-03-12,PAID,BNK-CHASE-020
INV-80020,V021,Omega Security Systems,2947.01,2026-04-01,PAID,BNK-USB-021
INV-80021,V022,Paragon Printing Inc,2155.36,2026-04-12,PAID,BNK-WELLS-022
INV-80022,V023,Quantum Analytics Corp,15065.76,2026-03-01,PAID,BNK-CITI-023
INV-80023,V024,Radiance Healthcare Ltd,16029.77,2026-04-03,PAID,BNK-BOA-024
INV-80024,V025,Solaris Energy Partners,10730.46,2026-05-11,PAID,BNK-CHASE-025
INV-80025,V026,Trident Shipping Co,1588.18,2026-04-20,PAID,BNK-USB-026
INV-80026,V027,Unity Financial Services,14096.78,2026-05-09,PAID,BNK-WELLS-027
INV-80027,V028,Vertex Tech Solutions,15511.46,2026-05-07,PAID,BNK-CITI-028
INV-80028,V029,Willow Creek Farms,7338.17,2026-03-22,PAID,BNK-BOA-029
INV-80029,V030,Xcel Building Materials,11733.77,2026-04-03,PAID,BNK-CHASE-030
INV-80030,V031,Yellowstone Mining Corp,3597.65,2026-04-04,PAID,BNK-USB-031
INV-80031,V032,Zenith Aerospace Ltd,4403.52,2026-04-15,PAID,BNK-WELLS-032
INV-80032,V033,Atlas Catering Services,12871.31,2026-02-21,PAID,BNK-CITI-033
INV-80033,V034,Beacon Insurance Group,11946.21,2026-03-03,PAID,BNK-BOA-034
INV-80034,V035,Cedar IT Infrastructure,11721.63,2026-03-12,PAID,BNK-CHASE-035
INV-80035,V036,Dusk Logistics Network,13340.98,2026-04-29,PAID,BNK-USB-036
INV-80036,V037,Eclipse Power Systems,8750.88,2026-04-15,PAID,BNK-WELLS-037
INV-80037,V038,Falcon Data Centers,17819.8,2026-02-27,PAID,BNK-CITI-038
INV-80038,V039,Granite Stone Works,12636.39,2026-04-21,PAID,BNK-BOA-039
INV-80039,V040,Harbor Marine Services,12575.37,2026-05-12,PAID,BNK-CHASE-040
INV-80040,V041,Iris Biotech Research,4739.63,2026-05-15,PAID,BNK-USB-041
INV-88219,V003,Nexus Software Corp,7200.0,2026-04-18,PAID,BNK-CITI-003
INV-80042,V043,Karma Textile Mills,5405.14,2026-04-22,PAID,BNK-CITI-043
INV-80043,V044,Lunar Software House,16505.94,2026-03-08,PAID,BNK-BOA-044
INV-80044,V045,Maple Foods Distribution,15873.52,2026-04-09,PAID,BNK-CHASE-045
INV-80045,V046,Nile Publishing Corp,4457.18,2026-03-17,PAID,BNK-USB-046
INV-80046,V047,Obsidian Robotics Inc,7604.87,2026-02-26,PAID,BNK-WELLS-047
INV-80047,V048,Pearl Event Management,8692.25,2026-04-16,PAID,BNK-CITI-048
INV-80048,V049,Quartz Audio Visual,3201.64,2026-03-09,PAID,BNK-BOA-049
INV-80049,V050,Ruby HR Solutions,10070.41,2026-03-06,PAID,BNK-CHASE-050
INV-80050,V001,Acme Logistics Ltd,8169.06,2026-03-06,PAID,BNK-CHASE-001
INV-80051,V002,Vortex Energy Inc,7669.69,2026-04-21,PAID,BNK-WELLS-002
INV-80052,V003,Nexus Software Corp,17954.0,2026-05-02,PAID,BNK-CITI-003
INV-80053,V004,Globex Global Corp,9563.85,2026-05-08,PAID,BNK-BOA-004
INV-80054,V005,Pinnacle Freight Co,13799.45,2026-05-05,PAID,BNK-CHASE-005
INV-80055,V006,Orion Cloud Services,3428.87,2026-04-29,PAID,BNK-USB-006
INV-80056,V007,Titan Manufacturing LLC,14423.77,2026-03-26,PAID,BNK-WELLS-007
INV-80057,V008,Aurora Consulting Group,11058.24,2026-03-31,PAID,BNK-CITI-008
INV-80058,V009,Catalyst Pharma,7363.85,2026-03-21,PAID,BNK-BOA-009
INV-80059,V010,Delta Mechanical Works,9900.77,2026-03-10,PAID,BNK-CHASE-010
INV-80060,V011,Ember Digital Agency,15605.41,2026-05-18,PAID,BNK-USB-011
INV-80061,V012,Fusion Media Group,12500.87,2026-05-05,PAID,BNK-WELLS-012
INV-80062,V013,Galaxy Telecom Ltd,12525.42,2026-03-12,PAID,BNK-CITI-013
INV-80063,V014,Horizon Staffing Inc,13715.1,2026-02-26,PAID,BNK-BOA-014
INV-80064,V015,Ignite Marketing LLC,6651.02,2026-04-12,PAID,BNK-CHASE-015
INV-80065,V016,Jade Construction Co,8277.96,2026-03-22,PAID,BNK-USB-016
INV-80066,V017,Keystone Legal Partners,855.82,2026-04-16,PAID,BNK-WELLS-017
INV-80067,V018,Luminary Design Studio,17516.48,2026-04-27,PAID,BNK-CITI-018
INV-80068,V019,Meridian Supply Chain,9532.12,2026-05-06,PAID,BNK-BOA-019
INV-80069,V020,Nova Research Labs,15772.92,2026-04-11,PAID,BNK-CHASE-020
INV-80070,V021,Omega Security Systems,15276.71,2026-03-16,PAID,BNK-USB-021
INV-80071,V022,Paragon Printing Inc,11274.29,2026-04-30,PAID,BNK-WELLS-022
INV-80072,V023,Quantum Analytics Corp,7231.32,2026-04-29,PAID,BNK-CITI-023
INV-80073,V024,Radiance Healthcare Ltd,10077.32,2026-03-13,PAID,BNK-BOA-024
INV-80074,V025,Solaris Energy Partners,16598.09,2026-03-04,PAID,BNK-CHASE-025
INV-80075,V026,Trident Shipping Co,6375.48,2026-05-17,PAID,BNK-USB-026
INV-80076,V027,Unity Financial Services,2724.12,2026-04-03,PAID,BNK-WELLS-027
INV-80077,V028,Vertex Tech Solutions,15914.02,2026-04-10,PAID,BNK-CITI-028
INV-80078,V029,Willow Creek Farms,4918.58,2026-04-19,PAID,BNK-BOA-029
INV-80079,V030,Xcel Building Materials,15901.77,2026-05-09,PAID,BNK-CHASE-030
INV-80080,V031,Yellowstone Mining Corp,2273.24,2026-03-18,PAID,BNK-USB-031
INV-80081,V032,Zenith Aerospace Ltd,14835.6,2026-03-12,PAID,BNK-WELLS-032
INV-80082,V033,Atlas Catering Services,13972.35,2026-05-03,PAID,BNK-CITI-033
INV-80083,V034,Beacon Insurance Group,12147.71,2026-03-10,PAID,BNK-BOA-034
INV-80084,V035,Cedar IT Infrastructure,3640.18,2026-03-13,PAID,BNK-CHASE-035
INV-80085,V036,Dusk Logistics Network,15805.85,2026-03-26,PAID,BNK-USB-036
INV-80086,V037,Eclipse Power Systems,17387.04,2026-03-11,PAID,BNK-WELLS-037
INV-80087,V038,Falcon Data Centers,13790.56,2026-02-20,PAID,BNK-CITI-038
INV-80088,V039,Granite Stone Works,4259.8,2026-04-10,PAID,BNK-BOA-039
INV-80089,V040,Harbor Marine Services,7662.67,2026-02-23,PAID,BNK-CHASE-040
INV-80090,V041,Iris Biotech Research,11977.9,2026-03-24,PAID,BNK-USB-041
INV-80091,V042,Jasper Rail Transport,16273.36,2026-03-23,PAID,BNK-WELLS-042
INV-80092,V043,Karma Textile Mills,2881.27,2026-04-21,PAID,BNK-CITI-043
INV-80093,V044,Lunar Software House,1901.25,2026-05-17,PAID,BNK-BOA-044
INV-80094,V045,Maple Foods Distribution,10918.91,2026-04-20,PAID,BNK-CHASE-045
INV-80095,V046,Nile Publishing Corp,10921.17,2026-05-19,PAID,BNK-USB-046
INV-80096,V047,Obsidian Robotics Inc,2021.08,2026-02-28,PAID,BNK-WELLS-047
INV-80097,V048,Pearl Event Management,1812.63,2026-05-11,PAID,BNK-CITI-048
INV-80098,V049,Quartz Audio Visual,16373.22,2026-04-07,PAID,BNK-BOA-049
