vendor_id,vendor_name,gl_account_code,approved_bank_routing,payment_terms,is_active
V001,Acme Logistics Ltd,ACC-10011,BNK-CHASE-001,NET30,True
V002,Vortex Energy Inc,ACC-10022,BNK-WELLS-002,NET45,True
V003,Nexus Software Corp,ACC-10033,BNK-CITI-003,NET30,True
V004,Globex Global Corp,ACC-10044,BNK-BOA-004,NET60,True
V005,Pinnacle Freight Co,ACC-10055,BNK-CHASE-005,NET30,True
V006,Orion Cloud Services,ACC-10066,BNK-USB-006,NET45,True
V007,Titan Manufacturing LLC,ACC-10077,BNK-WELLS-007,NET30,True
V008,Aurora Consulting Group,ACC-10088,BNK-CITI-008,NET15,True
V009,Catalyst Pharma,ACC-10099,BNK-BOA-009,NET30,True
V010,Delta Mechanical Works,ACC-10100,BNK-CHASE-010,NET45,True
V011,Ember Digital Agency,ACC-10111,BNK-USB-011,NET30,True
V012,Fusion Media Group,ACC-10122,BNK-WELLS-012,NET60,True
V013,Galaxy Telecom Ltd,ACC-10133,BNK-CITI-013,NET30,True
V014,Horizon Staffing Inc,ACC-10144,BNK-BOA-014,NET15,True
V015,Ignite Marketing LLC,ACC-10155,BNK-CHASE-015,NET30,True
V016,Jade Construction Co,ACC-10166,BNK-USB-016,NET45,True
V017,Keystone Legal Partners,ACC-10177,BNK-WELLS-017,NET30,True
V018,Luminary Design Studio,ACC-10188,BNK-CITI-018,NET30,True
V019,Meridian Supply Chain,ACC-10199,BNK-BOA-019,NET60,True
V020,Nova Research Labs,ACC-10200,BNK-CHASE-020,NET30,True
V021,Omega Security Systems,ACC-10211,BNK-USB-021,NET45,True
V022,Paragon Printing Inc,ACC-10222,BNK-WELLS-022,NET30,True
V023,Quantum Analytics Corp,ACC-10233,BNK-CITI-023,NET15,True
V024,Radiance Healthcare Ltd,ACC-10244,BNK-BOA-024,NET30,True
V025,Solaris Energy Partners,ACC-10255,BNK-CHASE-025,NET45,True
V026,Trident Shipping Co,ACC-10266,BNK-USB-026,NET30,True
V027,Unity Financial Services,ACC-10277,BNK-WELLS-027,NET60,True
V028,Vertex Tech Solutions,ACC-10288,BNK-CITI-028,NET30,True
V029,Willow Creek Farms,ACC-10299,BNK-BOA-029,NET30,True
V030,Xcel Building Materials,ACC-10300,BNK-CHASE-030,NET45,True
V031,Yellowstone Mining Corp,ACC-10311,BNK-USB-031,NET30,True
V032,Zenith Aerospace Ltd,ACC-10322,BNK-WELLS-032,NET60,True
V033,Atlas Catering Services,ACC-10333,BNK-CITI-033,NET30,True
V034,Beacon Insurance Group,ACC-10344,BNK-BOA-034,NET15,True
V035,Cedar IT Infrastructure,ACC-10355,BNK-CHASE-035,NET30,True
V036,Dusk Logistics Network,ACC-10366,BNK-USB-036,NET45,True
V037,Eclipse Power Systems,ACC-10377,BNK-WELLS-037,NET30,True
V038,Falcon Data Centers,ACC-10388,BNK-CITI-038,NET30,True
V039,Granite Stone Works,ACC-10399,BNK-BOA-039,NET60,True
V040,Harbor Marine Services,ACC-10400,BNK-CHASE-040,NET30,True
V041,Iris Biotech Research,ACC-10411,BNK-USB-041,NET45,True
V042,Jasper Rail Transport,ACC-10422,BNK-WELLS-042,NET30,True
V043,Karma Textile Mills,ACC-10433,BNK-CITI-043,NET15,True
V044,Lunar Software House,ACC-10444,BNK-BOA-044,NET30,True
V045,Maple Foods Distribution,ACC-10455,BNK-CHASE-045,NET60,True
V046,Nile Publishing Corp,ACC-10466,BNK-USB-046,NET30,True
V047,Obsidian Robotics Inc,ACC-10477,BNK-WELLS-047,NET45,True
V048,Pearl Event Management,ACC-10488,BNK-CITI-048,NET30,True
V049,Quartz Audio Visual,ACC-10499,BNK-BOA-049,NET30,True
V050,Ruby HR Solutions,ACC-10500,BNK-CHASE-050,NET45,True
